cm,abs
3791.16733,0.04382
3790.45309,0.04366
3789.73886,0.04355
3789.02462,0.04356
3788.31038,0.04362
3787.59615,0.04359
3786.88191,0.04349
3786.16768,0.0434
3785.45344,0.04337
3784.7392,0.04335
3784.02497,0.04331
3783.31073,0.04326
3782.59649,0.04325
3781.88226,0.04326
3781.16802,0.04325
3780.45378,0.0432
3779.73955,0.04313
3779.02531,0.04313
3778.31107,0.04323
3777.59684,0.04335
3776.8826,0.04341
3776.16836,0.04338
3775.45413,0.04337
3774.73989,0.04348
3774.02565,0.04369
3773.31142,0.04388
3772.59718,0.04395
3771.88295,0.04384
3771.16871,0.04361
3770.45447,0.0434
3769.74024,0.04328
3769.026,0.04321
3768.31176,0.04313
3767.59753,0.04303
3766.88329,0.04297
3766.16905,0.043
3765.45482,0.04315
3764.74058,0.04336
3764.02634,0.04351
3763.31211,0.04348
3762.59787,0.04334
3761.88363,0.0432
3761.1694,0.04313
3760.45516,0.04311
3759.74092,0.04318
3759.02669,0.04331
3758.31245,0.04336
3757.59822,0.04328
3756.88398,0.0432
3756.16974,0.0433
3755.45551,0.04351
3754.74127,0.04361
3754.02703,0.04338
3753.3128,0.0429
3752.59856,0.04249
3751.88432,0.04243
3751.17009,0.04256
3750.45585,0.04254
3749.74161,0.04247
3749.02738,0.04268
3748.31314,0.04317
3747.5989,0.0436
3746.88467,0.04369
3746.17043,0.04337
3745.45619,0.04276
3744.74196,0.04235
3744.02772,0.04257
3743.31349,0.04318
3742.59925,0.04365
3741.88501,0.04385
3741.17078,0.04395
3740.45654,0.04406
3739.7423,0.0441
3739.02807,0.04397
3738.31383,0.04368
3737.59959,0.04333
3736.88536,0.04307
3736.17112,0.04302
3735.45688,0.04317
3734.74265,0.04343
3734.02841,0.04363
3733.31417,0.04364
3732.59994,0.04348
3731.8857,0.04333
3731.17146,0.04333
3730.45723,0.04344
3729.74299,0.04357
3729.02876,0.04367
3728.31452,0.0437
3727.60028,0.04365
3726.88605,0.04361
3726.17181,0.04375
3725.45757,0.04401
3724.74334,0.04421
3724.0291,0.04418
3723.31486,0.04394
3722.60063,0.04367
3721.88639,0.04358
3721.17215,0.04373
3720.45792,0.04397
3719.74368,0.04417
3719.02944,0.04434
3718.31521,0.04454
3717.60097,0.04476
3716.88673,0.04487
3716.1725,0.04489
3715.45826,0.04494
3714.74403,0.04507
3714.02979,0.04511
3713.31555,0.04489
3712.60132,0.04456
3711.88708,0.04446
3711.17284,0.04467
3710.45861,0.04495
3709.74437,0.04514
3709.03013,0.04532
3708.3159,0.04558
3707.60166,0.04583
3706.88742,0.04597
3706.17319,0.04602
3705.45895,0.04608
3704.74471,0.04619
3704.03048,0.04632
3703.31624,0.04641
3702.60201,0.04647
3701.88777,0.04658
3701.17353,0.0468
3700.4593,0.04712
3699.74506,0.04748
3699.03082,0.04784
3698.31659,0.04817
3697.60235,0.04843
3696.88811,0.04859
3696.17388,0.0487
3695.45964,0.04882
3694.7454,0.04898
3694.03117,0.04915
3693.31693,0.04927
3692.60269,0.04936
3691.88846,0.04956
3691.17422,0.04999
3690.45998,0.05048
3689.74575,0.05076
3689.03151,0.05084
3688.31728,0.05104
3687.60304,0.05157
3686.8888,0.05225
3686.17457,0.05291
3685.46033,0.0535
3684.74609,0.05398
3684.03186,0.05433
3683.31762,0.05462
3682.60338,0.055
3681.88915,0.05542
3681.17491,0.0558
3680.46067,0.05624
3679.74644,0.05689
3679.0322,0.05769
3678.31796,0.05839
3677.60373,0.05887
3676.88949,0.05924
3676.17525,0.05971
3675.46102,0.06044
3674.74678,0.06146
3674.03255,0.06259
3673.31831,0.06354
3672.60407,0.0642
3671.88984,0.06468
3671.1756,0.06529
3670.46136,0.0662
3669.74713,0.06733
3669.03289,0.06848
3668.31865,0.06956
3667.60442,0.0706
3666.89018,0.07157
3666.17594,0.07246
3665.46171,0.0733
3664.74747,0.07418
3664.03323,0.07517
3663.319,0.07624
3662.60476,0.07728
3661.89052,0.07824
3661.17629,0.07916
3660.46205,0.08013
3659.74782,0.08117
3659.03358,0.0822
3658.31934,0.08315
3657.60511,0.08397
3656.89087,0.08477
3656.17663,0.08575
3655.4624,0.08695
3654.74816,0.08828
3654.03392,0.08959
3653.31969,0.09074
3652.60545,0.09165
3651.89121,0.09241
3651.17698,0.09317
3650.46274,0.09406
3649.7485,0.0951
3649.03427,0.09635
3648.32003,0.09776
3647.60579,0.09918
3646.89156,0.10052
3646.17732,0.10181
3645.46309,0.10305
3644.74885,0.10422
3644.03461,0.10533
3643.32038,0.10644
3642.60614,0.10762
3641.8919,0.10889
3641.17767,0.11014
3640.46343,0.11129
3639.74919,0.11237
3639.03496,0.11341
3638.32072,0.11445
3637.60648,0.11556
3636.89225,0.11676
3636.17801,0.11796
3635.46377,0.11905
3634.74954,0.12007
3634.0353,0.12114
3633.32106,0.12229
3632.60683,0.12346
3631.89259,0.12454
3631.17836,0.12545
3630.46412,0.12622
3629.74988,0.127
3629.03565,0.12806
3628.32141,0.12944
3627.60717,0.13088
3626.89294,0.13218
3626.1787,0.13333
3625.46446,0.13444
3624.75023,0.13552
3624.03599,0.13653
3623.32175,0.13748
3622.60752,0.13842
3621.89328,0.13933
3621.17904,0.14018
3620.46481,0.14102
3619.75057,0.14199
3619.03633,0.14313
3618.3221,0.14431
3617.60786,0.14543
3616.89363,0.14652
3616.17939,0.14758
3615.46515,0.14861
3614.75092,0.14958
3614.03668,0.15048
3613.32244,0.1513
3612.60821,0.15217
3611.89397,0.15318
3611.17973,0.15422
3610.4655,0.1551
3609.75126,0.1558
3609.03702,0.15652
3608.32279,0.15743
3607.60855,0.15852
3606.89431,0.15968
3606.18008,0.16078
3605.46584,0.16172
3604.7516,0.16255
3604.03737,0.16342
3603.32313,0.16439
3602.6089,0.16537
3601.89466,0.16626
3601.18042,0.16708
3600.46619,0.16789
3599.75195,0.16869
3599.03771,0.16948
3598.32348,0.17031
3597.60924,0.17116
3596.895,0.17194
3596.18077,0.17261
3595.46653,0.17332
3594.75229,0.17417
3594.03806,0.17507
3593.32382,0.17588
3592.60958,0.17663
3591.89535,0.17743
3591.18111,0.17823
3590.46687,0.17894
3589.75264,0.17957
3589.0384,0.18019
3588.32417,0.18086
3587.60993,0.18154
3586.89569,0.18225
3586.18146,0.18306
3585.46722,0.18391
3584.75298,0.18467
3584.03875,0.18534
3583.32451,0.18604
3582.61027,0.18683
3581.89604,0.18763
3581.1818,0.18838
3580.46756,0.18903
3579.75333,0.18966
3579.03909,0.19037
3578.32485,0.1912
3577.61062,0.19209
3576.89638,0.19293
3576.18214,0.1937
3575.46791,0.19442
3574.75367,0.19506
3574.03944,0.19563
3573.3252,0.19621
3572.61096,0.19684
3571.89673,0.19746
3571.18249,0.19809
3570.46825,0.19875
3569.75402,0.19941
3569.03978,0.2
3568.32554,0.20056
3567.61131,0.2012
3566.89707,0.20194
3566.18283,0.20271
3565.4686,0.20347
3564.75436,0.20421
3564.04012,0.20493
3563.32589,0.20561
3562.61165,0.20626
3561.89741,0.20692
3561.18318,0.20758
3560.46894,0.20817
3559.75471,0.2087
3559.04047,0.20924
3558.32623,0.20984
3557.612,0.21048
3556.89776,0.21115
3556.18352,0.21182
3555.46929,0.21244
3554.75505,0.21301
3554.04081,0.2136
3553.32658,0.21423
3552.61234,0.21484
3551.8981,0.21541
3551.18387,0.21597
3550.46963,0.2166
3549.75539,0.21729
3549.04116,0.21801
3548.32692,0.21871
3547.61268,0.21941
3546.89845,0.22015
3546.18421,0.22093
3545.46998,0.22164
3544.75574,0.2222
3544.0415,0.22263
3543.32727,0.22302
3542.61303,0.22343
3541.89879,0.2239
3541.18456,0.22447
3540.47032,0.22513
3539.75608,0.2258
3539.04185,0.22644
3538.32761,0.22707
3537.61337,0.22771
3536.89914,0.22837
3536.1849,0.22897
3535.47066,0.22947
3534.75643,0.22991
3534.04219,0.23039
3533.32796,0.23091
3532.61372,0.23145
3531.89948,0.23196
3531.18525,0.23245
3530.47101,0.23294
3529.75677,0.2335
3529.04254,0.23413
3528.3283,0.2348
3527.61406,0.23538
3526.89983,0.23583
3526.18559,0.23625
3525.47135,0.23678
3524.75712,0.23746
3524.04288,0.23818
3523.32864,0.23879
3522.61441,0.23926
3521.90017,0.23966
3521.18593,0.24009
3520.4717,0.2406
3519.75746,0.24116
3519.04323,0.24174
3518.32899,0.24233
3517.61475,0.24292
3516.90052,0.24345
3516.18628,0.24392
3515.47204,0.24444
3514.75781,0.2451
3514.04357,0.24584
3513.32933,0.24644
3512.6151,0.24681
3511.90086,0.24705
3511.18662,0.24731
3510.47239,0.24764
3509.75815,0.24807
3509.04391,0.2486
3508.32968,0.24922
3507.61544,0.24983
3506.9012,0.25037
3506.18697,0.25084
3505.47273,0.25125
3504.7585,0.25164
3504.04426,0.2521
3503.33002,0.25262
3502.61579,0.25309
3501.90155,0.25342
3501.18731,0.2537
3500.47308,0.25409
3499.75884,0.25464
3499.0446,0.25524
3498.33037,0.25576
3497.61613,0.25615
3496.90189,0.25648
3496.18766,0.25685
3495.47342,0.25726
3494.75918,0.25764
3494.04495,0.25796
3493.33071,0.25825
3492.61647,0.25858
3491.90224,0.25898
3491.188,0.25942
3490.47377,0.25988
3489.75953,0.26033
3489.04529,0.26073
3488.33106,0.26105
3487.61682,0.26131
3486.90258,0.26161
3486.18835,0.26198
