cm,abs
3999.01015,0.01842
3998.29592,0.01841
3997.58168,0.01853
3996.86744,0.01866
3996.15321,0.01869
3995.43897,0.01866
3994.72473,0.01864
3994.0105,0.01864
3993.29626,0.01868
3992.58202,0.01879
3991.86779,0.01896
3991.15355,0.01911
3990.43931,0.01916
3989.72508,0.01908
3989.01084,0.01891
3988.2966,0.01876
3987.58237,0.0187
3986.86813,0.0187
3986.15389,0.01869
3985.43966,0.01866
3984.72542,0.0186
3984.01119,0.01854
3983.29695,0.01855
3982.58271,0.01863
3981.86848,0.01872
3981.15424,0.0187
3980.44,0.01856
3979.72577,0.0184
3979.01153,0.0183
3978.29729,0.01828
3977.58306,0.01826
3976.86882,0.01818
3976.15458,0.01801
3975.44035,0.01785
3974.72611,0.01784
3974.01187,0.01795
3973.29764,0.01805
3972.5834,0.01807
3971.86916,0.01805
3971.15493,0.01798
3970.44069,0.01785
3969.72646,0.01769
3969.01222,0.01756
3968.29798,0.01747
3967.58375,0.01742
3966.86951,0.01742
3966.15527,0.01745
3965.44104,0.01749
3964.7268,0.01753
3964.01256,0.01761
3963.29833,0.01769
3962.58409,0.01771
3961.86985,0.01762
3961.15562,0.01748
3960.44138,0.01736
3959.72714,0.01725
3959.01291,0.01716
3958.29867,0.01714
3957.58443,0.01722
3956.8702,0.01733
3956.15596,0.0174
3955.44173,0.01739
3954.72749,0.01733
3954.01325,0.01728
3953.29902,0.01725
3952.58478,0.01723
3951.87054,0.01721
3951.15631,0.01716
3950.44207,0.01704
3949.72783,0.01689
3949.0136,0.01676
3948.29936,0.01672
3947.58512,0.01677
3946.87089,0.01687
3946.15665,0.01699
3945.44241,0.0171
3944.72818,0.01716
3944.01394,0.01708
3943.2997,0.01685
3942.58547,0.01664
3941.87123,0.0166
3941.157,0.01671
3940.44276,0.0168
3939.72852,0.01679
3939.01429,0.01673
3938.30005,0.01672
3937.58581,0.01675
3936.87158,0.0168
3936.15734,0.01686
3935.4431,0.01698
3934.72887,0.01709
