cm,abs
3999.01015,0.02348
3998.29592,0.02349
3997.58168,0.02366
3996.86744,0.02388
3996.15321,0.02406
3995.43897,0.02418
3994.72473,0.02425
3994.0105,0.02427
3993.29626,0.02426
3992.58202,0.02427
3991.86779,0.02435
3991.15355,0.02449
3990.43931,0.02459
3989.72508,0.02456
3989.01084,0.02442
3988.2966,0.02432
3987.58237,0.02436
3986.86813,0.02448
3986.15389,0.02458
3985.43966,0.02461
3984.72542,0.02454
3984.01119,0.02441
3983.29695,0.02431
3982.58271,0.02431
3981.86848,0.02436
3981.15424,0.02438
3980.44,0.02429
3979.72577,0.02413
3979.01153,0.02398
3978.29729,0.02392
3977.58306,0.02397
3976.86882,0.02408
3976.15458,0.02414
3975.44035,0.02413
3974.72611,0.02406
3974.01187,0.02394
3973.29764,0.02382
3972.5834,0.02377
3971.86916,0.02382
3971.15493,0.02389
3970.44069,0.02392
3969.72646,0.02392
3969.01222,0.02393
3968.29798,0.02389
3967.58375,0.02378
3966.86951,0.02366
3966.15527,0.02363
3965.44104,0.0237
3964.7268,0.0238
3964.01256,0.02383
3963.29833,0.02375
3962.58409,0.02362
3961.86985,0.02354
3961.15562,0.02359
3960.44138,0.02378
3959.72714,0.02403
3959.01291,0.02419
3958.29867,0.02418
3957.58443,0.02408
3956.8702,0.02399
3956.15596,0.02396
3955.44173,0.02394
3954.72749,0.02392
3954.01325,0.02391
3953.29902,0.02393
3952.58478,0.02401
3951.87054,0.02412
3951.15631,0.02417
3950.44207,0.02409
3949.72783,0.02394
3949.0136,0.02379
3948.29936,0.02368
3947.58512,0.02367
3946.87089,0.02378
3946.15665,0.02396
3945.44241,0.02405
3944.72818,0.02398
3944.01394,0.02377
3943.2997,0.02355
3942.58547,0.02345
3941.87123,0.02357
3941.157,0.0238
3940.44276,0.02398
3939.72852,0.02407
3939.01429,0.02415
3938.30005,0.02426
3937.58581,0.02434
3936.87158,0.02431
3936.15734,0.0242
3935.4431,0.02411
3934.72887,0.02402
3934.01463,0.02384
3933.30039,0.02355
3932.58616,0.02333
3931.87192,0.02333
3931.15768,0.02358
3930.44345,0.02393
3929.72921,0.02422
3929.01497,0.02437
3928.30074,0.02439
3927.5865,0.02432
3926.87227,0.02419
3926.15803,0.02401
3925.44379,0.02385
3924.72956,0.02383
3924.01532,0.02396
3923.30108,0.02415
3922.58685,0.02426
3921.87261,0.02422
3921.15837,0.02402
3920.44414,0.02376
3919.7299,0.02359
3919.01566,0.02356
3918.30143,0.02356
3917.58719,0.02348
3916.87295,0.0234
3916.15872,0.02345
3915.44448,0.02364
3914.73024,0.02385
3914.01601,0.02396
3913.30177,0.02395
3912.58754,0.02386
3911.8733,0.02377
3911.15906,0.02372
3910.44483,0.02368
3909.73059,0.02362
3909.01635,0.02357
3908.30212,0.02356
3907.58788,0.02359
3906.87364,0.02354
3906.15941,0.02328
3905.44517,0.02283
3904.73093,0.02243
3904.0167,0.02227
3903.30246,0.02225
3902.58822,0.02215
3901.87399,0.02201
3901.15975,0.02198
3900.44551,0.02203
3899.73128,0.02206
3899.01704,0.02219
3898.30281,0.02256
3897.58857,0.02302
3896.87433,0.02335
3896.1601,0.02342
3895.44586,0.02332
3894.73162,0.02317
3894.01739,0.02303
3893.30315,0.0228
3892.58891,0.02235
3891.87468,0.02179
3891.16044,0.0215
3890.4462,0.0217
3889.73197,0.02215
3889.01773,0.02248
3888.30349,0.02253
3887.58926,0.02226
3886.87502,0.02171
3886.16078,0.02119
3885.44655,0.02114
3884.73231,0.02153
3884.01808,0.02198
3883.30384,0.02222
3882.5896,0.02227
